Date,Open,High,Low,Close,Volume
2025-11-10,2496.9,2544.3,2460.3,2504.3,5234489
2025-11-11,2495.6,2503.2,2452.4,2503.2,7472471
2025-11-12,2507.0,2540.0,2470.8,2540.0,6344769
2025-11-13,2531.9,2541.2,2516.5,2533.8,4307371
2025-11-14,2521.7,2548.2,2487.4,2487.4,7721339
2025-11-17,2484.1,2506.7,2445.1,2461.7,5416182
2025-11-18,2473.6,2496.7,2431.0,2487.0,8499720
2025-11-19,2476.1,2523.1,2428.3,2499.1,4465689
2025-11-20,2489.0,2523.1,2460.8,2460.8,7450812
2025-11-21,2469.0,2477.5,2445.4,2445.4,9249859
2025-11-24,2440.8,2466.2,2414.1,2417.8,6584702
2025-11-25,2426.0,2457.1,2406.9,2457.1,6047262
2025-11-26,2467.5,2471.8,2433.8,2433.8,7774183
2025-11-27,2442.2,2478.7,2415.8,2448.5,4767640
2025-11-28,2443.2,2469.7,2436.3,2465.3,4425472
2025-12-01,2453.4,2474.1,2434.0,2438.2,4752126
2025-12-02,2445.9,2480.4,2410.2,2465.8,5231785
2025-12-03,2462.3,2471.4,2419.8,2471.4,6521441
2025-12-04,2461.4,2479.6,2428.5,2473.6,9245035
2025-12-05,2477.0,2521.0,2448.8,2448.8,4521101
2025-12-08,2457.3,2492.8,2439.3,2439.3,8888794
2025-12-09,2439.9,2460.8,2411.2,2411.2,3769598
2025-12-10,2420.7,2443.7,2393.5,2434.9,5832868
2025-12-11,2428.8,2448.8,2392.1,2409.1,6470495
2025-12-12,2411.4,2445.0,2369.0,2420.4,6057213
2025-12-15,2423.7,2465.9,2384.7,2400.9,5009021
2025-12-16,2401.8,2440.6,2358.8,2388.7,5907360
2025-12-17,2383.3,2414.1,2372.7,2372.7,3402690
2025-12-18,2361.0,2385.1,2341.3,2341.3,6112754
2025-12-19,2335.9,2347.4,2316.2,2316.2,9276567
2025-12-22,2320.9,2353.1,2275.8,2353.1,7259622
