Code,Name,Close,MA25,MA75,Turnover,TurnoverMA25,TurnoverMA75,Category,DataDate
5011,ニチレキグループ,2043.0,2109.0,2242.5,1.0,0.8,1.1,,2026-05-08
5016,ＪＸ金属,5416.0,4523.9,3716.1,1366.1,1564.9,1412.3,2,2026-05-08
5019,出光興産,1340.5,1473.6,1413.1,75.4,72.0,62.6,,2026-05-08
5020,ＥＮＥＯＳホールディングス,1289.5,1381.5,1358.2,128.2,125.8,126.8,,2026-05-08
5021,コスモエネルギーホールディングス,3951.0,4254.6,4417.3,32.1,25.2,31.6,,2026-05-08
5032,ＡＮＹＣＯＬＯＲ,2786.0,2982.7,3574.7,23.2,26.2,36.5,,2026-05-08
5036,日本ビジネスシステムズ,1419.0,1471.3,1567.3,1.7,2.0,2.2,,2026-05-08
5074,テスホールディングス,988.0,681.6,566.1,65.2,18.4,15.2,2,2026-05-08
5076,インフロニア・ホールディングス,2272.0,2148.4,2281.6,145.2,41.1,44.4,,2026-05-08
50765,インフロニア・ホールディングス第１回社債型種類株式,4623.0,4624.5,4607.5,0.2,0.2,0.2,,2026-05-08
5101,横浜ゴム,6453.0,6299.9,6481.2,48.8,56.3,65.2,,2026-05-08
5105,ＴＯＹＯ　ＴＩＲＥ,3874.0,3877.4,4107.2,27.8,27.3,37.8,,2026-05-08
5108,ブリヂストン,3284.0,3352.5,3463.6,158.3,141.4,172.2,,2026-05-08
5110,住友ゴム工業,2038.0,2075.8,2321.5,36.9,35.1,45.1,,2026-05-08
5121,藤倉コンポジット,2590.0,2533.1,2453.9,4.5,3.1,3.8,2,2026-05-08
5122,オカモト,5600.0,5870.4,5770.3,1.4,0.8,1.0,,2026-05-08
5142,アキレス,1562.0,1436.8,1491.1,1.9,0.8,1.1,,2026-05-08
5185,フコク,1783.0,1810.1,1884.7,0.5,0.7,0.9,,2026-05-08
5186,ニッタ,4650.0,4550.6,4368.2,4.8,1.6,1.6,2,2026-05-08
5192,三ツ星ベルト,4005.0,3996.0,4011.7,2.3,2.0,2.8,,2026-05-08
