Code,Name
1301,極洋
1332,ニッスイ
1333,Ｕｍｉｏｓ
1375,ユキグニファクトリー
1377,サカタのタネ
1379,ホクト
1414,ショーボンドホールディングス
1417,ミライト・ワン
1419,タマホーム
1429,日本アクア
1433,ベステラ
1515,日鉄鉱業
1518,三井松島ホールディングス
1605,ＩＮＰＥＸ
1662,石油資源開発
1663,Ｋ＆Ｏエナジーグループ
167A,リョーサン菱洋ホールディングス
1719,安藤・間
1720,東急建設
1721,コムシスホールディングス
1726,ビーアールホールディングス
1762,高松コンストラクショングループ
1766,東建コーポレーション
1780,ヤマウラ
1786,オリエンタル白石
1801,大成建設
1802,大林組
1803,清水建設
1808,長谷工コーポレーション
1812,鹿島建設
1813,不動テトラ
1814,大末建設
1815,鉄建建設
1820,西松建設
1833,奥村組
1835,東鉄工業
1852,淺沼組
1860,戸田建設
1861,熊谷組
1870,矢作建設工業
1871,ピーエス・コンストラクション
1873,日本ハウスホールディングス
1878,大東建託
1879,新日本建設
1882,東亜道路工業
1885,東亜建設工業
1887,日本国土開発
1888,若築建設
1893,五洋建設
1898,世紀東急工業
1899,福田組
1911,住友林業
1925,大和ハウス工業
1926,ライト工業
1928,積水ハウス
1929,日特建設
1930,北陸電気工事
1934,ユアテック
1938,日本リーテック
1939,四電工
1941,中電工
1942,関電工
1944,きんでん
1945,東京エネシス
1946,トーエネック
1950,日本電設工業
1951,エクシオグループ
1952,新日本空調
1959,クラフティア
1961,三機工業
1963,日揮ホールディングス
1964,中外炉工業
1968,太平電業
1969,高砂熱学工業
1975,朝日工業社
1976,明星工業
1979,大氣社
1980,ダイダン
1982,日比谷総合設備
2001,ニップン
2002,日清製粉グループ本社
2004,昭和産業
2053,中部飼料
2060,フィード・ワン
2108,日本甜菜製糖
2109,ＤＭ三井製糖
2117,ウェルネオシュガー
2120,ＬＩＦＵＬＬ
2121,ＭＩＸＩ
2124,ジェイエイシーリクルートメント
2127,日本Ｍ＆Ａセンターホールディングス
212A,フィットイージー
2130,メンバーズ
2146,ＵＴグループ
2148,アイティメディア
2153,Ｅ・Ｊホールディングス
2154,オープンアップグループ
2157,コシダカホールディングス
2163,アルトナー
2168,パソナグループ
2170,リンクアンドモチベーション
2175,エス・エム・エス
2181,パーソルホールディングス
2198,アイ・ケイ・ケイホールディングス
2201,森永製菓
2206,江崎グリコ
2207,ｍｅｉｔｏ
2209,井村屋グループ
2211,不二家
2212,山崎製パン
2217,モロゾフ
2220,亀田製菓
2222,寿スピリッツ
2229,カルビー
2264,森永乳業
2266,六甲バター
2267,ヤクルト本社
2269,明治ホールディングス
2270,雪印メグミルク
2281,プリマハム
2282,日本ハム
2288,丸大食品
2292,Ｓ　Ｆｏｏｄｓ
2294,柿安本店
2296,伊藤ハム米久ホールディングス
2301,学情
2307,クロスキャット
2317,システナ
2325,ＮＪＳ
2326,デジタルアーツ
2327,日鉄ソリューションズ
2331,ＡＬＳＯＫ
2335,キューブシステム
2337,いちご
2353,日本駐車場開発
2359,コア
2371,カカクコム
2378,ルネサンス
2379,ディップ
2384,ＳＢＳホールディングス
2395,新日本科学
2410,キャリアデザインセンター
2413,エムスリー
2429,ワールドホールディングス
2432,ディー・エヌ・エー
2433,博報堂ＤＹホールディングス
2461,ファンコミュニケーションズ
2462,ライク
2471,エスプール
2475,ＷＤＢホールディングス
2491,バリューコマース
2492,インフォマート
2501,サッポロホールディングス
2502,アサヒグループホールディングス
2503,キリンホールディングス
2531,宝ホールディングス
2533,オエノンホールディングス
2540,養命酒製造
256A,飛島ホールディングス
2579,コカ・コーラ　ボトラーズジャパンホールディングス
2585,ライフドリンク　カンパニー
2587,サントリー食品インターナショナル
2590,ダイドーグループホールディングス
2593,伊藤園
25935,伊藤園第１種優先株式
2594,キーコーヒー
2602,日清オイリオグループ
2607,不二製油
2613,Ｊ－オイルミルズ
262A,インターメスティック
2659,サンエー
2664,カワチ薬品
2670,エービーシー・マート
2674,ハードオフコーポレーション
2676,高千穂交易
2678,アスクル
2681,ゲオホールディングス
2685,アンドエスティＨＤ
268A,リガク・ホールディングス
2692,伊藤忠食品
2695,くら寿司
2726,パルグループホールディングス
2730,エディオン
2733,あらた
2734,サーラコーポレーション
2737,トーメンデバイス
2742,ハローズ
2749,ＪＰホールディングス
2752,フジオフードグループ本社
2753,あみやき亭
2760,東京エレクトロン　デバイス
2767,円谷フィールズホールディングス
2768,双日
2784,アルフレッサ　ホールディングス
2791,大黒天物産
2792,ハニーズホールディングス
2801,キッコーマン
2802,味の素
2804,ブルドックソース
